entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2026-04-09 14:00:00+00:00,2026-04-09 14:40:00+00:00,SELL,24811.50000,24853.40000,24852.90000,24730.20000,LOSS,-109.54,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (24832.90000) swept and reclaimed at 24812.00000, mid=24842.90000",1.00
2026-04-10 14:05:00+00:00,2026-04-10 15:30:00+00:00,BUY,25126.00000,25195.30000,25090.35000,25195.80000,WIN,208.26,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25110.35000) swept and reclaimed at 25125.50000, mid=25100.35000",1.00
2026-04-13 14:00:00+00:00,2026-04-13 14:35:00+00:00,BUY,24993.30000,24946.45000,24946.95000,25084.50000,LOSS,-110.40,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (24966.95000) swept and reclaimed at 24992.80000, mid=24956.95000",1.00
2026-04-14 14:20:00+00:00,2026-04-14 15:30:00+00:00,BUY,25486.30000,25539.85000,25458.52500,25540.35000,WIN,208.44,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25478.52500) swept and reclaimed at 25485.80000, mid=25468.52500",1.00
2026-04-15 15:35:00+00:00,2026-04-15 16:35:00+00:00,BUY,25822.30000,25884.85000,25790.02500,25885.35000,WIN,213.57,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (25810.02500) swept and reclaimed at 25821.80000, mid=25800.02500",1.00
2026-04-16 14:35:00+00:00,2026-04-16 16:30:00+00:00,BUY,26260.10000,26223.72500,26224.22500,26330.35000,LOSS,-113.90,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (26244.22500) swept and reclaimed at 26259.60000, mid=26234.22500",1.00
2026-04-20 14:05:00+00:00,2026-04-20 14:30:00+00:00,SELL,26525.90000,26552.40000,26551.90000,26475.40000,LOSS,-113.33,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (26531.90000) swept and reclaimed at 26526.40000, mid=26541.90000",1.00
2026-04-21 13:55:00+00:00,2026-04-21 14:05:00+00:00,BUY,26721.10000,26693.82500,26694.32500,26773.15000,LOSS,-112.12,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (26714.32500) swept and reclaimed at 26720.60000, mid=26704.32500",1.00
2026-04-22 14:25:00+00:00,2026-04-22 15:00:00+00:00,SELL,26660.60000,26692.05000,26691.55000,26600.20000,LOSS,-110.70,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (26671.55000) swept and reclaimed at 26661.10000, mid=26681.55000",1.00
2026-04-23 14:00:00+00:00,2026-04-23 14:30:00+00:00,BUY,26829.80000,26799.65000,26800.15000,26887.60000,LOSS,-109.65,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (26820.15000) swept and reclaimed at 26829.30000, mid=26810.15000",1.00
2026-04-24 14:05:00+00:00,2026-04-24 14:10:00+00:00,BUY,27067.00000,27148.45000,27025.27500,27148.95000,WIN,208.36,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (27045.27500) swept and reclaimed at 27066.50000, mid=27035.27500",1.00
2026-04-27 15:20:00+00:00,2026-04-27 15:35:00+00:00,SELL,27314.90000,27256.45000,27345.12500,27255.95000,WIN,210.44,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (27325.12500) swept and reclaimed at 27315.40000, mid=27335.12500",1.00
2026-04-28 14:05:00+00:00,2026-04-28 14:15:00+00:00,SELL,27103.50000,27042.90000,27134.80000,27042.40000,WIN,214.76,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (27114.80000) swept and reclaimed at 27104.00000, mid=27124.80000",1.00
2026-04-29 18:10:00+00:00,2026-04-29 18:25:00+00:00,SELL,27118.50000,27149.40000,27148.90000,27059.20000,LOSS,-114.93,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (27128.90000) swept and reclaimed at 27119.00000, mid=27138.90000",1.00
2026-04-30 14:10:00+00:00,2026-04-30 14:25:00+00:00,BUY,27283.10000,27355.30000,27246.00000,27355.80000,WIN,217.81,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (27266.00000) swept and reclaimed at 27282.60000, mid=27256.00000",1.00
2026-05-01 14:00:00+00:00,2026-05-01 14:10:00+00:00,BUY,27442.50000,27413.87500,27414.37500,27497.25000,LOSS,-116.13,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (27434.37500) swept and reclaimed at 27442.00000, mid=27424.37500",1.00
2026-05-04 15:05:00+00:00,2026-05-04 16:00:00+00:00,BUY,27731.70000,27697.95000,27698.45000,27796.70000,LOSS,-114.64,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (27718.45000) swept and reclaimed at 27731.20000, mid=27708.45000",1.00
