task,broker,symbol,case,params,deployed,n,win_pct,pf,net_r,max_dd_r,balance,dd_pct,ret_pct,swap,commission,open_trades,tp,sl,median_spread,financing_pct,capped_pct,risk_median,commission_per_lot,volume_max
OrbBreakout_NDX100_Paper,cfi,NDX100,Paper,30m OR / M5 / 4R,False,36,25.0,1.1050753718725328,3.300034425215272,15.055987337386137,50732.53470236003,6.693003256105265,1.4650694047200667,-759.62129764,0.0,1,9,27,0.8,-6.474527821485055,0.0,239.0199999999997,0.0,20.0
OrbBreakoutinv_NDX100_Paper,cfi,NDX100,Paper (inverse),30m OR / M5 / 4R,False,36,75.0,0.8207435979958567,-1.6072148199992067,5.401140373672758,49863.539045874,1.965857199167618,-0.2729219082519994,23.657045873999998,0.0,1,27,9,0.8,-6.474527821485055,0.0,195.28700000000026,0.0,20.0
OrbBreakout_SPX500_Demo,cfi,SPX500,Demo,60m OR / M1 / 4R,False,32,25.0,1.022659982183783,0.6359247248231632,6.694338212160986,50274.42597924971,3.335187266763261,0.548851958499421,-1076.0990207503999,0.0,1,8,24,0.48,-6.559509149736644,0.0,250.4899999999975,0.0,20.0
OrbBreakout_SPX500_Paper,cfi,SPX500,Paper,60m OR / M1 / 4R,False,32,25.0,1.022659982183783,0.6359247248231632,6.694338212160986,50274.42597924971,3.335187266763261,0.548851958499421,-1076.0990207503999,0.0,1,8,24,0.48,-6.559509149736644,0.0,250.4899999999975,0.0,20.0
OrbBreakoutinv_SPX500_Paper,cfi,SPX500,Paper (inverse),60m OR / M1 / 4R,False,32,75.0,0.8074927488592069,-1.530029959469089,3.2875102367693674,49841.033141431595,1.1371637643732175,-0.31793371713680973,30.8281414316,0.0,1,24,8,0.48,-6.559509149736644,0.0,220.05000000000018,0.0,20.0
OrbBreakout_XAUUSD_Demo,cfi,XAUUSD,Demo,15m OR / M1 / 4R,False,89,20.224719101123597,1.050454463073575,3.6323407003597947,18.784412332975794,49450.97209000009,10.923066916758268,-1.0980558199998196,-440.76291000000003,0.0,1,18,71,0.04,-4.858318848259621,0.0,243.40500000000065,0.0,20.0
OrbBreakoutwf_XAUUSD_Demo,cfi,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,True,63,33.333333333333336,1.1018727158311177,3.93024769690069,12.47940480604137,50366.80462999999,2.46580708221173,0.7336092599999829,-131.16537,0.0,0,12,36,0.04,-4.858318848259621,0.0,109.11999999999898,0.0,20.0
OrbBreakout_XAUUSD_Paper,cfi,XAUUSD,Paper,60m OR / M1 / 3R,False,50,20.0,0.7323986948661573,-11.003477164143574,14.939755636587915,47497.62744999999,6.916122843199258,-5.004745100000014,-313.14255,0.0,1,10,40,0.04,-4.858318848259621,0.0,229.03500000000167,0.0,20.0
OrbBreakoutinv_XAUUSD_Paper,cfi,XAUUSD,Paper (inverse),15m OR / M1 / 4R,False,89,79.7752808988764,0.9995187854782163,-0.008721435047475634,5.209596576651297,49828.612120000005,2.1668103234456315,-0.34277575999998955,55.337120000000006,0.0,1,71,18,0.04,-4.858318848259621,0.0,213.27999999999884,0.0,20.0
OrbBreakoutwf_XAUUSD_Paper,cfi,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,False,63,33.333333333333336,1.1018727158311177,3.9302476969006914,12.47940480604137,50715.33003499999,5.599753829154216,1.4306600699999836,-283.009965,0.0,0,12,36,0.04,-4.858318848259621,0.0,233.199999999998,0.0,20.0
