task,broker,symbol,case,params,deployed,n,win_pct,pf,net_r,max_dd_r,balance,dd_pct,ret_pct,swap,commission,open_trades,tp,sl,median_spread,financing_pct,capped_pct,risk_median,commission_per_lot,volume_max
OrbBreakoutinv_NDX100_Paper,fundingpips,NDX100,Paper (inverse),30m OR / M5 / 4R,False,68,77.94117647058823,0.8785450422586788,-1.8319276253082726,5.546304666808098,49907.321133791105,2.0107018572695674,-0.18535773241778952,-59.48286620888889,0.0,1,53,15,1.6,-7.33,0.0,204.3310000000005,0.0,10.0
OrbBreakout_SPX500_Demo,fundingpips,SPX500,Demo (rev 0.5R),60m OR / M1 / 4R,True,128,32.8125,0.5928393724529751,-39.01563396021244,39.01563396021243,41304.604376793,17.390791246413993,-17.390791246413997,-1912.1656232069445,0.0,1,42,86,0.8,-7.33,0.0,218.2250000000026,0.0,10.0
OrbBreakout_SPX500_Paper,fundingpips,SPX500,Paper,60m OR / M1 / 4R,False,70,17.142857142857142,0.6314986760194071,-24.415186872514635,25.428730566333794,44353.54630572495,11.557972630863937,-11.292907388550098,-2014.798694275,0.0,1,12,58,0.8,-7.33,0.0,228.42000000000053,0.0,10.0
OrbBreakoutinv_SPX500_Paper,fundingpips,SPX500,Paper (inverse),60m OR / M1 / 4R,False,67,82.08955223880596,1.1146583019893452,1.3974630000274157,4.166856740104807,50281.53456548056,1.591210119599358,0.5630691309611139,-86.54543451944444,0.0,1,55,12,0.8,-7.33,0.0,218.65500000000065,0.0,10.0
OrbBreakout_XAUUSD_Demo,fundingpips,XAUUSD,Demo (rev 0.5R),15m OR / M1 / 4R,True,287,41.11498257839721,1.2252478012694143,39.05488915951457,26.58128465903262,58473.80852000037,12.803851842364015,16.94761704000074,-1294.20648,-263.1,1,118,169,0.15,-5.5901366759245725,0.0,294.29999999999836,5.0,5.0
OrbBreakout_XAUUSD_Paper,fundingpips,XAUUSD,Paper,60m OR / M1 / 3R,False,106,31.132075471698112,1.3005814980033439,22.746378734107484,15.55490695568599,55795.28356000014,6.967077829219261,11.590567120000282,-988.51644,-49.7,1,33,73,0.15,-5.5901366759245725,0.0,265.4200000000001,5.0,5.0
OrbBreakoutinv_XAUUSD_Paper,fundingpips,XAUUSD,Paper (inverse),15m OR / M1 / 4R,False,165,73.93939393939394,0.7231619947189866,-11.925000508851975,14.771865427224245,47478.43230000005,5.9548214799999695,-5.043135399999898,88.8423,-26.900000000000002,1,122,43,0.15,-5.5901366759245725,0.0,207.11999999999716,5.0,5.0
OrbBreakoutwf_XAUUSD_Paper,fundingpips,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,False,125,39.2,1.4468497137905343,32.17919521411816,13.854397891666114,58096.15340000013,6.496240359094547,16.192306800000253,-890.6166000000001,-60.800000000000004,0,29,67,0.15,-5.5901366759245725,0.0,266.40000000000146,5.0,5.0
OrbBreakout_DJI30_Demo,cfi,DJI30,Demo (rev 0.5R),60m OR / M1 / 4R,True,111,40.54054054054054,0.7885549357391065,-15.14617204051674,20.206491197693513,47005.31089833734,8.585201406935887,-5.989378203325323,-1670.1011016628001,0.0,0,45,66,2.0,-6.4718445093013965,0.0,224.80499999999086,0.0,20.0
OrbBreakout_DJI30_Paper,cfi,DJI30,Paper,60m OR / M1 / 4R,False,61,18.0327868852459,0.6976256859358008,-16.967234683572684,19.927225290025195,46316.809475000126,8.501043541820978,-7.366381049999748,-1827.4205250000002,0.0,0,11,50,2.0,-6.4718445093013965,0.0,225.1529999999984,0.0,20.0
OrbBreakoutinv_DJI30_Paper,cfi,DJI30,Paper (inverse),60m OR / M1 / 4R,False,61,81.9672131147541,1.1667533333306548,1.813457741989986,3.285084352341322,50531.520266680775,1.2006833076271706,1.0630405333615491,51.5442666808,0.0,0,50,11,2.0,-6.4718445093013965,0.0,207.35000000000002,0.0,20.0
OrbBreakout_GER40_Demo,cfi,GER40,Demo,30m OR / M1 / 4R,False,121,20.66115702479339,0.8959056396628129,-11.03090791422682,22.54396880420164,46973.7251531219,9.930776270813832,-6.052549693756199,-1600.2494513775,0.0,0,25,96,3.7,-4.368661740507754,0.0,237.85166340000234,0.0,20.0
OrbBreakout_GER40_Paper,cfi,GER40,Paper,30m OR / M1 / 4R,False,121,20.66115702479339,0.8959056396628129,-11.03090791422682,22.54396880420164,46973.7251531219,9.930776270813832,-6.052549693756199,-1600.2494513775,0.0,0,25,96,3.7,-4.368661740507754,0.0,237.85166340000234,0.0,20.0
OrbBreakout_JP225_Demo,cfi,JP225,Demo (rev 0.5R),15m OR / M1 / 4R,True,324,38.27160493827161,0.8433388601128848,-34.96206232445926,35.4477323297303,42243.993047023614,15.712908649798003,-15.512013905952774,-1592.9964086985,0.0,0,124,200,7.1000000000000005,-5.476546859501857,0.0,230.9246964525114,0.0,20.0
OrbBreakout_JP225_Paper,cfi,JP225,Paper,15m OR / M1 / 4R,False,184,21.73913043478261,0.9222027423953842,-12.038558226696768,23.139680437750226,47739.72359219339,11.353315160554523,-4.520552815613221,-1616.7862377877002,0.0,0,40,144,7.1000000000000005,-5.476546859501857,0.0,257.7779358474696,0.0,20.0
OrbBreakoutinv_JP225_Paper,cfi,JP225,Paper (inverse),15m OR / M1 / 4R,False,182,76.37362637362638,0.8389084910334952,-7.0119768491583,12.417916325581485,48497.115615983756,5.574602992344147,-3.005768768032489,-175.187123265,0.0,0,139,43,7.1000000000000005,-5.476546859501857,0.0,226.72322425340792,0.0,20.0
OrbBreakout_NDX100_Demo,cfi,NDX100,Demo (rev 0.5R),30m OR / M5 / 4R,True,123,37.39837398373984,0.8771322275422134,-10.287647518110782,22.568506241283114,47659.66867043214,10.084233778179682,-4.68066265913572,-1457.569329568,0.0,1,46,77,0.8,-6.474527821485055,0.0,232.42199999999937,0.0,20.0
OrbBreakout_NDX100_Paper,cfi,NDX100,Paper,30m OR / M5 / 4R,False,68,22.058823529411764,0.9313277888089947,-4.157205413770958,15.418255275463979,48932.592520875114,7.038329830284493,-2.1348149582497715,-1520.309479125,0.0,1,15,53,0.8,-6.474527821485055,0.0,234.97200000000015,0.0,20.0
OrbBreakoutinv_NDX100_Paper,cfi,NDX100,Paper (inverse),30m OR / M5 / 4R,False,68,77.94117647058823,0.9516505989439468,-0.7220401798896413,5.401140373672757,50010.97077148099,2.2022407520934264,0.021941542961983942,46.23877148099999,0.0,1,53,15,0.8,-6.474527821485055,0.0,207.45,0.0,20.0
OrbBreakout_SPX500_Demo,cfi,SPX500,Demo (rev 0.5R),60m OR / M1 / 4R,True,127,34.645669291338585,0.6092100720082566,-36.076734182741056,42.84846680549772,42126.585498121414,18.419077610659716,-15.74682900375717,-1897.1270018787998,0.0,1,44,83,0.48,-6.559509149736644,0.0,209.549999999997,0.0,20.0
OrbBreakout_SPX500_Paper,cfi,SPX500,Paper,60m OR / M1 / 4R,False,69,15.942028985507246,0.5786589231487793,-28.7269409016844,31.458960288967084,43805.53244184177,13.888192812908631,-12.388935116316453,-2024.5725581583997,0.0,1,11,58,0.48,-6.559509149736644,0.0,222.4199999999978,0.0,20.0
OrbBreakoutinv_SPX500_Paper,cfi,SPX500,Paper (inverse),60m OR / M1 / 4R,False,69,84.05797101449275,1.413869363407174,4.522983302850489,3.2875102367693696,50979.095918177954,1.1894514233823463,1.958191836355909,68.78591817799999,0.0,1,58,11,0.48,-6.559509149736644,0.0,220.1200000000008,0.0,20.0
OrbBreakout_XAUUSD_Demo,cfi,XAUUSD,Demo (rev 0.5R),15m OR / M1 / 4R,True,284,41.54929577464789,1.2335506879221123,39.182781802254965,23.09682131277925,58642.0658599998,11.103108857364479,17.284131719999596,-1059.49664,0.0,1,118,166,0.06,-4.858318848259621,0.0,286.10999999999876,0.0,20.0
OrbBreakout_XAUUSD_Paper,cfi,XAUUSD,Paper,60m OR / M1 / 3R,False,105,31.428571428571427,1.335265304180623,24.804663724150075,14.939755636587918,56210.81256999996,6.812032779667009,12.421625139999916,-861.4374300000001,0.0,1,33,72,0.06,-4.858318848259621,0.0,266.200000000008,0.0,20.0
OrbBreakoutinv_XAUUSD_Paper,cfi,XAUUSD,Paper (inverse),15m OR / M1 / 4R,False,165,74.54545454545455,0.7447007996360986,-10.711691602141357,13.758001327082484,47857.86555999999,5.450174719999981,-4.284268880000018,114.65056000000001,0.0,1,123,42,0.06,-4.858318848259621,0.0,208.97999999999956,0.0,20.0
OrbBreakoutwf_XAUUSD_Paper,cfi,XAUUSD,Paper (həftə sonu bağlı),60m OR / M1 / 3R,False,125,39.2,1.4897276912850355,34.4897641169212,12.47940480604138,58598.06030499998,5.763725882058976,17.196120609999955,-778.1296950000001,0.0,0,29,66,0.06,-4.858318848259621,0.0,266.90000000000055,0.0,20.0
