trade_num,entry_time,result,pnl,cumulative_pnl
57,2025-03-26T14:05:00+00:00,WIN,172.74,-796.37
58,2025-03-27T14:00:00+00:00,LOSS,-93.42,-889.79
59,2025-03-28T14:00:00+00:00,LOSS,-92.87,-982.66
60,2025-03-31T14:10:00+00:00,LOSS,-90.95,-1073.61
61,2025-04-01T14:15:00+00:00,LOSS,-90.62,-1164.23
62,2025-04-02T14:05:00+00:00,WIN,171.25,-992.98
63,2025-04-03T14:15:00+00:00,LOSS,-91.15,-1084.13
64,2025-04-04T15:40:00+00:00,LOSS,-89.59,-1173.72
65,2025-04-07T15:30:00+00:00,WIN,171.83,-1001.89
66,2025-04-08T14:20:00+00:00,WIN,173.86,-828.03
67,2025-04-09T14:05:00+00:00,LOSS,-91.96,-919.99
68,2025-04-10T15:35:00+00:00,WIN,178.31,-741.68
69,2025-04-11T14:15:00+00:00,WIN,182.14,-559.54
70,2025-04-14T14:55:00+00:00,LOSS,-96.14,-655.68
71,2025-04-15T14:15:00+00:00,WIN,181.20,-474.48
72,2025-04-16T14:05:00+00:00,LOSS,-96.50,-570.98
73,2025-04-17T14:00:00+00:00,LOSS,-95.67,-666.65
74,2025-04-21T14:00:00+00:00,LOSS,-94.66,-761.31
75,2025-04-22T14:10:00+00:00,LOSS,-93.93,-855.24
76,2025-04-23T14:45:00+00:00,LOSS,-93.06,-948.30
77,2025-04-25T14:10:00+00:00,LOSS,-91.95,-1040.25
78,2025-04-28T13:55:00+00:00,LOSS,-90.81,-1131.06
79,2025-04-29T14:00:00+00:00,LOSS,-90.75,-1221.81
80,2025-04-30T14:00:00+00:00,LOSS,-89.28,-1311.09
81,2025-05-01T14:05:00+00:00,LOSS,-88.18,-1399.27
82,2025-05-02T14:35:00+00:00,LOSS,-87.25,-1486.52
83,2025-05-05T13:55:00+00:00,LOSS,-86.80,-1573.32
84,2025-05-06T14:00:00+00:00,LOSS,-86.15,-1659.47
85,2025-05-07T14:05:00+00:00,LOSS,-84.80,-1744.27
86,2025-05-08T18:45:00+00:00,LOSS,-83.25,-1827.52
87,2025-05-09T14:05:00+00:00,LOSS,-83.71,-1911.23
88,2025-05-12T14:00:00+00:00,LOSS,-81.84,-1993.07
89,2025-05-13T13:55:00+00:00,WIN,154.48,-1838.59
90,2025-05-14T14:05:00+00:00,LOSS,-82.55,-1921.14
91,2025-05-15T14:05:00+00:00,WIN,156.65,-1764.49
92,2025-05-16T14:50:00+00:00,LOSS,-83.93,-1848.42
93,2025-05-19T14:05:00+00:00,LOSS,-82.93,-1931.35
94,2025-05-20T14:00:00+00:00,LOSS,-81.95,-2013.30
95,2025-05-21T16:35:00+00:00,WIN,156.75,-1856.55
96,2025-05-22T14:05:00+00:00,LOSS,-82.92,-1939.47
97,2025-05-23T14:00:00+00:00,LOSS,-82.20,-2021.67
98,2025-05-26T15:20:00+00:00,LOSS,-81.49,-2103.16
99,2025-05-28T13:55:00+00:00,LOSS,-80.35,-2183.51
100,2025-05-29T13:55:00+00:00,WIN,151.91,-2031.60
101,2025-05-30T14:10:00+00:00,LOSS,-80.90,-2112.50
102,2025-06-02T13:55:00+00:00,WIN,152.01,-1960.49
103,2025-06-03T14:00:00+00:00,WIN,156.45,-1804.04
104,2025-06-04T13:55:00+00:00,LOSS,-83.43,-1887.47
105,2025-06-05T14:15:00+00:00,LOSS,-82.22,-1969.69
106,2025-06-06T13:55:00+00:00,LOSS,-82.05,-2051.74
107,2025-06-09T13:55:00+00:00,LOSS,-81.29,-2133.03
108,2025-06-10T14:10:00+00:00,LOSS,-79.77,-2212.80
109,2025-06-11T14:15:00+00:00,LOSS,-78.97,-2291.77
110,2025-06-12T14:00:00+00:00,LOSS,-78.88,-2370.65
111,2025-06-13T16:20:00+00:00,WIN,147.01,-2223.64
112,2025-06-16T13:55:00+00:00,WIN,148.94,-2074.70
113,2025-06-17T13:55:00+00:00,WIN,153.20,-1921.50
114,2025-06-18T13:55:00+00:00,LOSS,-81.83,-2003.33
115,2025-06-19T13:55:00+00:00,LOSS,-81.55,-2084.88
116,2025-06-20T14:10:00+00:00,WIN,151.57,-1933.31
117,2025-06-23T14:05:00+00:00,WIN,154.18,-1779.13
118,2025-06-24T14:10:00+00:00,LOSS,-83.72,-1862.85
119,2025-06-25T14:05:00+00:00,WIN,155.00,-1707.85
120,2025-06-26T15:35:00+00:00,LOSS,-83.87,-1791.72
121,2025-06-27T14:05:00+00:00,LOSS,-83.58,-1875.30
122,2025-06-30T14:05:00+00:00,WIN,156.48,-1718.82
123,2025-07-01T14:05:00+00:00,LOSS,-84.40,-1803.22
124,2025-07-03T14:45:00+00:00,WIN,157.47,-1645.75
125,2025-07-04T13:55:00+00:00,LOSS,-84.62,-1730.37
126,2025-07-07T15:10:00+00:00,LOSS,-84.44,-1814.81
127,2025-07-08T14:45:00+00:00,LOSS,-83.50,-1898.31
128,2025-07-09T14:15:00+00:00,WIN,154.31,-1744.00
129,2025-07-10T14:15:00+00:00,LOSS,-84.36,-1828.36
130,2025-07-11T15:35:00+00:00,LOSS,-82.72,-1911.08
131,2025-07-14T14:45:00+00:00,WIN,155.74,-1755.34
132,2025-07-15T14:50:00+00:00,LOSS,-84.11,-1839.45
133,2025-09-10T14:35:00+00:00,WIN,156.34,-1683.11
134,2025-09-11T14:50:00+00:00,LOSS,-84.93,-1768.04
135,2025-09-12T14:50:00+00:00,LOSS,-84.06,-1852.10
136,2025-09-15T14:05:00+00:00,WIN,156.15,-1695.95
137,2025-09-16T14:20:00+00:00,WIN,159.40,-1536.55
138,2025-09-17T14:15:00+00:00,LOSS,-86.39,-1622.94
139,2025-09-18T14:05:00+00:00,LOSS,-84.98,-1707.92
