day,session,direction,entry_time,entry_price,stop,exit_reason,recorded_spread_at_entry,spread_cost_used,risk,r_multiple_gross,r_multiple_net,pnl_usd_gross,pnl_usd_net
2022-03-03,09:30,SHORT,2022-03-03 09:55:00-05:00,14265.7,14280.7,SL,0.0,3.0,15.0,-1.0,-1.2,-1000.0,-1200.0
2022-03-04,09:30,SHORT,2022-03-04 09:55:00-05:00,13912.3,13955.0,TP,0.0,3.0,42.7,3.0,2.9297,3000.0,2929.74
2022-03-08,09:30,SHORT,2022-03-08 10:15:00-05:00,13265.8,13302.8,TP,0.0,3.0,37.0,3.0,2.9189,3000.0,2918.92
2022-03-09,09:30,LONG,2022-03-09 10:15:00-05:00,13588.8,13568.8,SL,0.0,3.0,20.0,-1.0,-1.15,-1000.0,-1150.0
2022-03-10,09:30,LONG,2022-03-10 10:20:00-05:00,13545.4,13529.4,TP,0.0,3.0,16.0,3.0,2.8125,3000.0,2812.5
2022-03-11,09:30,SHORT,2022-03-11 09:45:00-05:00,13643.2,13671.9,TP,0.0,3.0,28.7,3.0,2.8955,3000.0,2895.47
2022-03-14,09:30,LONG,2022-03-14 09:50:00-04:00,13292.6,13231.1,SL,0.0,3.0,61.5,-1.0,-1.0488,-1000.0,-1048.78
2022-03-16,09:30,LONG,2022-03-16 13:10:00-04:00,13673.0,13651.0,TP,0.0,3.0,22.0,3.0,2.8636,3000.0,2863.64
2022-03-17,09:30,LONG,2022-03-17 10:10:00-04:00,13961.9,13919.8,SL,0.0,3.0,42.1,-1.0,-1.0713,-1000.0,-1071.26
2022-03-21,09:30,LONG,2022-03-21 09:45:00-04:00,14427.0,14406.9,SL,0.0,3.0,20.1,-1.0,-1.1493,-1000.0,-1149.25
2022-03-22,09:30,LONG,2022-03-22 09:45:00-04:00,14457.0,14424.5,SL,0.0,3.0,32.5,-1.0,-1.0923,-1000.0,-1092.31
2022-03-23,09:30,LONG,2022-03-23 13:25:00-04:00,14517.1,14489.9,SL,0.0,3.0,27.2,-1.0,-1.1103,-1000.0,-1110.29
2022-03-24,09:30,SHORT,2022-03-24 10:30:00-04:00,14484.8,14518.0,SL,0.0,3.0,33.2,-1.0,-1.0904,-1000.0,-1090.36
2022-03-25,09:30,SHORT,2022-03-25 10:05:00-04:00,14736.6,14768.1,SL,0.0,3.0,31.5,-1.0,-1.0952,-1000.0,-1095.24
2022-03-28,09:30,LONG,2022-03-28 09:45:00-04:00,14846.2,14807.2,SL,0.0,3.0,39.0,-1.0,-1.0769,-1000.0,-1076.92
2022-03-29,09:30,SHORT,2022-03-29 10:50:00-04:00,15115.5,15131.3,SL,0.0,3.0,15.8,-1.0,-1.1899,-1000.0,-1189.87
2022-03-30,09:30,LONG,2022-03-30 10:50:00-04:00,15195.0,15167.3,SL,0.0,3.0,27.7,-1.0,-1.1083,-1000.0,-1108.3
2022-03-31,09:30,SHORT,2022-03-31 09:55:00-04:00,15033.4,15036.7,SL,0.0,3.0,3.3,-1.0,-1.9091,-1000.0,-1909.09
2022-04-01,09:30,SHORT,2022-04-01 10:05:00-04:00,14846.1,14870.2,SL,0.0,3.0,24.1,-1.0,-1.1245,-1000.0,-1124.48
2022-04-05,09:30,SHORT,2022-04-05 10:00:00-04:00,15075.0,15095.8,SL,0.0,3.0,20.8,-1.0,-1.1442,-1000.0,-1144.23
2022-04-06,09:30,SHORT,2022-04-06 14:00:00-04:00,14593.4,14603.1,SL,0.0,3.0,9.7,-1.0,-1.3093,-1000.0,-1309.28
2022-04-07,09:30,SHORT,2022-04-07 09:50:00-04:00,14521.0,14560.4,SL,0.0,3.0,39.4,-1.0,-1.0761,-1000.0,-1076.14
2022-04-08,09:30,SHORT,2022-04-08 09:45:00-04:00,14401.5,14417.4,TP,0.0,3.0,15.9,3.0,2.8113,3000.0,2811.32
2022-04-11,09:30,SHORT,2022-04-11 13:00:00-04:00,14124.0,14141.5,TP,0.0,3.0,17.5,3.0,2.8286,3000.0,2828.57
2022-04-12,09:30,LONG,2022-04-12 10:15:00-04:00,14205.4,14176.4,SL,0.0,3.0,29.0,-1.0,-1.1034,-1000.0,-1103.45
2022-04-18,09:30,LONG,2022-04-18 10:10:00-04:00,13893.9,13867.3,TP,0.0,3.0,26.6,3.0,2.8872,3000.0,2887.22
2022-04-22,09:30,SHORT,2022-04-22 09:45:00-04:00,13681.4,13753.9,SL,0.0,3.0,72.5,-1.0,-1.0414,-1000.0,-1041.38
2022-04-25,09:30,SHORT,2022-04-25 10:05:00-04:00,13286.3,13303.6,SL,0.0,3.0,17.3,-1.0,-1.1734,-1000.0,-1173.41
2022-04-27,09:30,LONG,2022-04-27 10:00:00-04:00,13125.1,13102.2,TP,0.0,3.0,22.9,3.0,2.869,3000.0,2869.0
2022-04-28,09:30,SHORT,2022-04-28 09:55:00-04:00,13166.6,13185.5,TP,0.0,3.0,18.9,3.0,2.8413,3000.0,2841.27
2022-04-29,09:30,LONG,2022-04-29 10:05:00-04:00,13341.1,13329.5,TP,0.0,3.0,11.6,3.0,2.7414,3000.0,2741.38
2022-05-02,09:30,LONG,2022-05-02 09:50:00-04:00,12869.5,12813.1,TP,0.0,3.0,56.4,3.0,2.9468,3000.0,2946.81
2022-05-03,09:30,LONG,2022-05-03 10:15:00-04:00,13027.7,13003.7,TP,0.0,3.0,24.0,3.0,2.875,3000.0,2875.0
2022-05-04,09:30,SHORT,2022-05-04 12:25:00-04:00,13062.0,13099.0,SL,0.0,3.0,37.0,-1.0,-1.0811,-1000.0,-1081.08
2022-05-06,09:30,SHORT,2022-05-06 10:05:00-04:00,12654.7,12686.2,SL,0.0,3.0,31.5,-1.0,-1.0952,-1000.0,-1095.24
2022-05-09,09:30,SHORT,2022-05-09 12:10:00-04:00,12389.2,12404.8,SL,0.0,3.0,15.6,-1.0,-1.1923,-1000.0,-1192.31
2022-05-10,09:30,SHORT,2022-05-10 09:55:00-04:00,12463.0,12479.5,TP,0.0,3.0,16.5,3.0,2.8182,3000.0,2818.18
2022-05-11,09:30,LONG,2022-05-11 10:05:00-04:00,12307.3,12189.6,SL,0.0,3.0,117.7,-1.0,-1.0255,-1000.0,-1025.49
2022-05-12,09:30,LONG,2022-05-12 11:50:00-04:00,11900.0,11814.2,SL,0.0,3.0,85.8,-1.0,-1.035,-1000.0,-1034.97
2022-05-16,09:30,LONG,2022-05-16 10:30:00-04:00,12297.6,12247.1,SL,0.0,3.0,50.5,-1.0,-1.0594,-1000.0,-1059.41
2022-05-17,09:30,SHORT,2022-05-17 10:00:00-04:00,12492.0,12517.7,TP,0.0,3.0,25.7,3.0,2.8833,3000.0,2883.27
2022-05-18,09:30,SHORT,2022-05-18 10:45:00-04:00,12306.4,12324.7,TP,0.0,3.0,18.3,3.0,2.8361,3000.0,2836.07
2022-05-19,09:30,SHORT,2022-05-19 09:55:00-04:00,11882.9,11947.3,SL,0.0,3.0,64.4,-1.0,-1.0466,-1000.0,-1046.58
2022-05-20,09:30,SHORT,2022-05-20 10:15:00-04:00,11912.8,11978.2,TP,0.0,3.0,65.4,3.0,2.9541,3000.0,2954.13
2022-05-23,09:30,LONG,2022-05-23 09:55:00-04:00,11906.3,11834.2,SL,0.0,3.0,72.1,-1.0,-1.0416,-1000.0,-1041.61
2022-05-24,09:30,SHORT,2022-05-24 12:15:00-04:00,11778.0,11796.8,SL,0.0,3.0,18.8,-1.0,-1.1596,-1000.0,-1159.57
2022-05-25,09:30,LONG,2022-05-25 12:20:00-04:00,11812.6,11783.0,TP,0.0,3.0,29.6,3.0,2.8986,3000.0,2898.65
2022-05-27,09:30,LONG,2022-05-27 10:45:00-04:00,12549.5,12533.5,SL,0.0,3.0,16.0,-1.0,-1.1875,-1000.0,-1187.5
