day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-10-29,SHORT,2025-10-29 19:15:00-04:00,2025-10-29 20:15:00-04:00,26073.35,26066.25,26052.050000000003,2025-10-29 20:15:00-04:00,26066.25,SL,1.0,1000.0
2025-10-30,SHORT,2025-10-30 12:45:00-04:00,2025-10-30 13:00:00-04:00,25872.85,25917.35,25739.35,2025-10-30 13:00:00-04:00,25917.35,SL,-1.0,-1000.0
2025-10-31,SHORT,2025-10-31 10:45:00-04:00,2025-10-31 11:30:00-04:00,25996.15,26061.35,25800.55000000001,2025-10-31 13:45:00-04:00,25800.55000000001,TP,3.0,3000.0
2025-11-03,SHORT,2025-11-03 10:00:00-05:00,2025-11-03 12:45:00-05:00,26019.45,26032.25,25981.050000000003,2025-11-03 14:00:00-05:00,25981.050000000003,TP,3.0,3000.0
2025-11-04,LONG,2025-11-04 10:00:00-05:00,2025-11-04 10:45:00-05:00,25698.45,25645.15,25858.35,2025-11-04 10:45:00-05:00,25645.15,SL,-1.0,-1000.0
2025-11-05,LONG,2025-11-05 10:00:00-05:00,2025-11-05 10:15:00-05:00,25515.95,25399.45,25865.45,2025-11-05 23:45:00-05:00,25614.15,EOD,0.8429,842.92
2025-11-06,SHORT,2025-11-06 10:00:00-05:00,2025-11-06 10:15:00-05:00,25388.95,25482.75,25107.550000000003,2025-11-06 11:30:00-05:00,25107.550000000003,TP,3.0,3000.0
2025-11-07,SHORT,2025-11-07 10:45:00-05:00,2025-11-07 13:15:00-05:00,24780.85,24857.05,24552.249999999996,2025-11-07 14:15:00-05:00,24857.05,SL,-1.0,-1000.0
2025-11-10,SHORT,2025-11-10 11:00:00-05:00,2025-11-10 12:00:00-05:00,25433.75,25513.25,25195.25,2025-11-10 12:45:00-05:00,25513.25,SL,-1.0,-1000.0
2025-11-12,LONG,2025-11-12 15:30:00-05:00,2025-11-12 15:45:00-05:00,25491.75,25458.45,25591.649999999998,2025-11-12 18:00:00-05:00,25458.45,SL,-1.0,-1000.0
2025-11-17,LONG,2025-11-17 11:45:00-05:00,2025-11-17 12:15:00-05:00,25044.55,24982.45,25230.849999999995,2025-11-17 12:45:00-05:00,24982.45,SL,-1.0,-1000.0
2025-11-18,SHORT,2025-11-18 10:00:00-05:00,2025-11-18 10:15:00-05:00,24484.15,24569.05,24229.450000000008,2025-11-18 11:15:00-05:00,24569.05,SL,-1.0,-1000.0
2025-11-19,LONG,2025-11-19 10:00:00-05:00,2025-11-19 10:45:00-05:00,24797.65,24659.85,25211.05000000001,2025-11-19 11:00:00-05:00,24659.85,SL,-1.0,-1000.0
2025-11-25,LONG,2025-11-25 11:30:00-05:00,2025-11-25 11:45:00-05:00,24773.15,24712.35,24955.55000000001,2025-11-25 12:30:00-05:00,24955.55000000001,TP,3.0,3000.0
2025-11-28,LONG,2025-11-28 11:00:00-05:00,2025-11-28 11:15:00-05:00,25337.15,25327.75,25365.350000000006,2025-11-28 11:15:00-05:00,25327.75,SL,-1.0,-1000.0
2025-12-01,LONG,2025-12-01 10:00:00-05:00,2025-12-01 10:15:00-05:00,25281.15,25195.15,25539.15,2025-12-01 23:45:00-05:00,25321.35,EOD,0.4674,467.44
2025-12-02,SHORT,2025-12-02 11:15:00-05:00,2025-12-02 12:00:00-05:00,25502.55,25597.15,25218.749999999993,2025-12-02 20:30:00-05:00,25597.15,SL,-1.0,-1000.0
2025-12-03,LONG,2025-12-03 15:00:00-05:00,2025-12-03 15:45:00-05:00,25611.95,25610.25,25617.050000000003,2025-12-03 15:45:00-05:00,25610.25,SL,-1.0,-1000.0
2025-12-04,LONG,2025-12-04 12:00:00-05:00,2025-12-04 12:15:00-05:00,25554.45,25524.75,25643.550000000003,2025-12-04 14:15:00-05:00,25524.75,SL,-1.0,-1000.0
2025-12-05,LONG,2025-12-05 10:15:00-05:00,2025-12-05 10:30:00-05:00,25785.15,25747.95,25896.750000000004,2025-12-05 10:45:00-05:00,25747.95,SL,-1.0,-1000.0
2025-12-08,SHORT,2025-12-08 10:30:00-05:00,2025-12-08 18:00:00-05:00,25686.05,25703.65,25633.249999999993,2025-12-08 23:45:00-05:00,25653.25,EOD,1.8636,1863.64
2025-12-09,LONG,2025-12-09 11:15:00-05:00,2025-12-09 11:30:00-05:00,25653.65,25649.65,25665.65,2025-12-09 11:30:00-05:00,25649.65,SL,-1.0,-1000.0
2025-12-10,LONG,2025-12-10 11:30:00-05:00,2025-12-10 11:45:00-05:00,25589.35,25579.05,25620.249999999996,2025-12-10 11:45:00-05:00,25579.05,SL,-1.0,-1000.0
2025-12-11,LONG,2025-12-11 12:30:00-05:00,2025-12-11 12:45:00-05:00,25577.45,25543.65,25678.85,2025-12-11 14:30:00-05:00,25678.85,TP,3.0,3000.0
2025-12-15,SHORT,2025-12-15 10:00:00-05:00,2025-12-15 11:15:00-05:00,25213.47,25265.92,25056.12000000001,2025-12-15 13:30:00-05:00,25056.12000000001,TP,3.0,3000.0
2025-12-16,SHORT,2025-12-16 10:30:00-05:00,2025-12-16 10:45:00-05:00,25018.97,25053.1,24916.58000000001,2025-12-16 10:45:00-05:00,25053.1,SL,-1.0,-1000.0
2025-12-18,LONG,2025-12-18 10:30:00-05:00,2025-12-18 12:00:00-05:00,25067.72,24953.47,25410.47,2025-12-18 12:15:00-05:00,24953.47,SL,-1.0,-1000.0
2025-12-19,LONG,2025-12-19 11:15:00-05:00,2025-12-19 11:45:00-05:00,25270.72,25237.72,25369.72,2025-12-19 16:45:00-05:00,25350.65,EOD,2.4221,2422.12
2025-12-22,LONG,2025-12-22 11:15:00-05:00,2025-12-22 11:30:00-05:00,25454.97,25427.22,25538.22,2025-12-22 13:15:00-05:00,25427.22,SL,-1.0,-1000.0
2025-12-26,SHORT,2025-12-26 12:00:00-05:00,2025-12-26 12:15:00-05:00,25643.72,25656.22,25606.22,2025-12-26 13:45:00-05:00,25656.22,SL,-1.0,-1000.0
