entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd,confirmations
2022-01-03 11:15:00-05:00,LONG,16425.5,16395.21399632246,16498.0,2022-01-03 11:30:00-05:00,16395.21399632246,SL,-1.0,-1000.0,3
2022-01-07 09:45:00-05:00,SHORT,15803.3,15845.540042289227,15635.5,2022-01-07 10:30:00-05:00,15635.5,TP,3.973,3972.53,4
2022-01-26 18:30:00-05:00,SHORT,14284.0,14313.165747460796,13719.0,2022-01-27 08:45:00-05:00,14313.165747460796,SL,-1.0,-1000.0,4
2022-04-21 10:15:00-04:00,LONG,14175.3,14114.686550099088,14301.4,2022-04-21 10:45:00-04:00,14114.686550099088,SL,-1.0,-1000.0,5
2022-04-22 10:30:00-04:00,SHORT,13620.4,13679.762295455144,13467.0,2022-04-22 13:30:00-04:00,13467.0,TP,2.584,2584.13,3
2022-04-27 11:00:00-04:00,SHORT,13083.0,13161.813411946794,12923.7,2022-04-27 11:30:00-04:00,13161.813411946794,SL,-1.0,-1000.0,3
2022-04-29 10:45:00-04:00,LONG,13215.8,13163.918920037351,13547.7,2022-04-29 11:00:00-04:00,13163.918920037351,SL,-1.0,-1000.0,3
2022-05-06 10:15:00-04:00,SHORT,12717.7,12852.955914899712,12371.8,2022-05-06 10:45:00-04:00,12852.955914899712,SL,-1.0,-1000.0,5
2022-06-01 10:45:00-04:00,LONG,12641.2,12587.406293362921,12824.4,2022-06-01 11:00:00-04:00,12587.406293362921,SL,-1.0,-1000.0,3
2022-07-19 04:15:00-04:00,SHORT,11900.6,11912.12949908739,11835.1,2022-07-19 04:30:00-04:00,11912.12949908739,SL,-1.0,-1000.0,3
2022-08-11 11:15:00-04:00,LONG,13404.3,13358.40918959653,13589.1,2022-08-11 11:45:00-04:00,13358.40918959653,SL,-1.0,-1000.0,3
2022-08-16 15:45:00-04:00,SHORT,13652.8,13682.141056811124,13513.2,2022-08-17 07:15:00-04:00,13513.2,TP,4.758,4757.84,3
2022-08-18 10:45:00-04:00,SHORT,13491.4,13519.887058070255,13393.2,2022-08-18 11:15:00-04:00,13519.887058070255,SL,-1.0,-1000.0,4
2022-08-24 04:30:00-04:00,SHORT,12884.4,12908.10945163309,12808.9,2022-08-24 07:45:00-04:00,12908.10945163309,SL,-1.0,-1000.0,3
2022-09-09 10:15:00-04:00,LONG,12522.7,12479.896599954158,12642.6,2022-09-11 18:30:00-04:00,12642.6,TP,2.801,2801.18,3
2022-10-10 14:15:00-04:00,LONG,10946.6,10909.330381061325,11078.2,2022-10-10 21:30:00-04:00,10909.330381061325,SL,-1.0,-1000.0,3
2022-10-14 07:00:00-04:00,LONG,11070.2,11038.548868951555,11136.2,2022-10-14 07:30:00-04:00,11038.548868951555,SL,-1.0,-1000.0,4
2022-10-20 09:15:00-04:00,SHORT,11070.2,11094.653126207679,10988.5,2022-10-20 09:30:00-04:00,11094.653126207679,SL,-1.0,-1000.0,3
2023-01-12 09:15:00-05:00,LONG,11423.7,11357.53432646213,11624.5,2023-01-12 09:30:00-05:00,11357.53432646213,SL,-1.0,-1000.0,3
2023-01-12 10:15:00-05:00,SHORT,11398.2,11452.650158707702,11224.5,2023-01-12 12:15:00-05:00,11452.650158707702,SL,-1.0,-1000.0,5
2023-01-24 09:45:00-05:00,SHORT,11833.1,11903.531100072149,11619.6,2023-01-24 18:00:00-05:00,11903.531100072149,SL,-1.0,-1000.0,5
2023-02-14 10:45:00-05:00,LONG,12458.9,12383.724579802514,12653.4,2023-02-15 14:00:00-05:00,12653.4,TP,2.587,2587.28,3
2023-02-22 11:15:00-05:00,SHORT,12066.1,12090.757913512605,12000.2,2023-02-22 11:30:00-05:00,12090.757913512605,SL,-1.0,-1000.0,4
2023-03-28 11:30:00-04:00,SHORT,12592.4,12613.725199777087,12511.2,2023-03-28 15:45:00-04:00,12613.725199777087,SL,-1.0,-1000.0,3
2023-04-14 04:30:00-04:00,LONG,13088.2,13081.569734707113,13118.9,2023-04-14 05:00:00-04:00,13081.569734707113,SL,-1.0,-1000.0,4
2023-04-14 10:45:00-04:00,LONG,13044.8,13017.11655207339,13220.1,2023-04-14 11:30:00-04:00,13017.11655207339,SL,-1.0,-1000.0,3
2023-04-28 11:00:00-04:00,LONG,13129.5,13103.755936123567,13220.1,2023-04-28 15:15:00-04:00,13220.1,TP,3.519,3519.26,3
