day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-05-30,reversal,SHORT,2025-05-30 09:40:00-04:00,2025-05-30 09:55:00-04:00,3281.53,3297.518388246687,3249.553223506626,2025-05-30 16:55:00-04:00,3288.72,EOD,-0.4497,-224.85
2025-06-05,reversal,SHORT,2025-06-05 09:40:00-04:00,2025-06-05 09:50:00-04:00,3381.24,3388.82498556665,3366.0700288666994,2025-06-05 10:45:00-04:00,3366.0700288666994,TP,2.0,1000.0
2025-06-09,reversal,LONG,2025-06-09 09:40:00-04:00,2025-06-09 09:50:00-04:00,3317.45,3312.130686396909,3328.0886272061816,2025-06-09 11:20:00-04:00,3328.0886272061816,TP,2.0,1000.0
2025-06-10,reversal,LONG,2025-06-10 09:35:00-04:00,2025-06-10 09:45:00-04:00,3345.55,3342.244032926491,3352.1619341470187,2025-06-10 10:00:00-04:00,3342.244032926491,SL,-1.0,-500.0
2025-06-26,reversal,LONG,2025-06-26 09:40:00-04:00,2025-06-26 09:50:00-04:00,3324.8,3310.1109094635644,3354.1781810728717,2025-06-26 22:45:00-04:00,3310.1109094635644,SL,-1.0,-500.0
2025-07-07,reversal,LONG,2025-07-07 09:40:00-04:00,2025-07-07 09:55:00-04:00,3314.36,3306.3431431027198,3330.393713794561,2025-07-07 13:05:00-04:00,3330.393713794561,TP,2.0,1000.0
2025-07-09,reversal,LONG,2025-07-09 09:40:00-04:00,2025-07-09 09:55:00-04:00,3299.78,3291.601441846113,3316.1371163077742,2025-07-09 15:10:00-04:00,3316.1371163077742,TP,2.0,1000.0
2025-08-04,reversal,LONG,2025-08-04 09:35:00-04:00,2025-08-04 09:50:00-04:00,3381.28,3373.2495730331707,3397.340853933659,2025-08-04 10:50:00-04:00,3373.2495730331707,SL,-1.0,-500.0
2025-08-06,reversal,LONG,2025-08-06 09:35:00-04:00,2025-08-06 09:55:00-04:00,3371.12,3365.1944950701773,3382.971009859645,2025-08-06 22:10:00-04:00,3382.971009859645,TP,2.0,1000.0
2025-09-04,reversal,SHORT,2025-09-04 09:40:00-04:00,2025-09-04 09:50:00-04:00,3548.15,3558.6165210838353,3527.2169578323296,2025-09-04 23:50:00-04:00,3558.6165210838353,SL,-1.0,-500.0
2025-09-23,reversal,SHORT,2025-09-23 09:40:00-04:00,2025-09-23 09:50:00-04:00,3779.5,3789.2273526533445,3760.045294693311,2025-09-23 14:55:00-04:00,3760.045294693311,TP,2.0,1000.0
2025-10-06,reversal,LONG,2025-10-06 09:35:00-04:00,2025-10-06 09:45:00-04:00,3940.85,3926.697902185278,3969.1541956294436,2025-10-06 12:05:00-04:00,3969.1541956294436,TP,2.0,1000.0
