day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2023-03-06,LONG,2023-03-06 10:15:00-05:00,2023-03-06 12:45:00-05:00,12390.05,12368.8,12443.175,2023-03-06 13:00:00-05:00,12368.8,SL,-1.0,-1000.0
2023-03-08,SHORT,2023-03-08 12:15:00-05:00,2023-03-08 15:30:00-05:00,12205.8,12238.17,12124.874999999996,2023-03-08 23:45:00-05:00,12194.95,EOD,0.3352,335.19
2023-03-15,LONG,2023-03-15 10:30:00-04:00,2023-03-15 11:00:00-04:00,12065.8,12035.55,12141.425,2023-03-15 11:45:00-04:00,12035.55,SL,-1.0,-1000.0
2023-05-10,SHORT,2023-05-10 10:45:00-04:00,2023-05-10 11:15:00-04:00,13293.52,13338.77,13180.395,2023-05-10 14:30:00-04:00,13338.77,SL,-1.0,-1000.0
2023-07-19,SHORT,2023-07-19 12:30:00-04:00,2023-07-19 15:15:00-04:00,15875.4,15921.52,15760.099999999999,2023-07-19 18:15:00-04:00,15760.099999999999,TP,2.5,2500.0
2023-10-05,SHORT,2023-10-05 10:00:00-04:00,2023-10-05 13:30:00-04:00,14700.95,14735.7,14614.075,2023-10-05 14:00:00-04:00,14735.7,SL,-1.0,-1000.0
2023-10-09,SHORT,2023-10-09 10:45:00-04:00,2023-10-09 11:15:00-04:00,14890.17,14902.55,14859.220000000001,2023-10-09 11:15:00-04:00,14902.55,SL,-1.0,-1000.0
2023-12-27,SHORT,2023-12-27 10:15:00-05:00,2023-12-27 11:30:00-05:00,16915.07,16942.77,16845.82,2023-12-27 13:00:00-05:00,16942.77,SL,-1.0,-1000.0
2024-01-10,LONG,2024-01-10 10:45:00-05:00,2024-01-10 11:00:00-05:00,16736.05,16717.55,16782.3,2024-01-10 11:00:00-05:00,16717.55,SL,-1.0,-1000.0
2024-01-31,SHORT,2024-01-31 10:30:00-05:00,2024-01-31 11:00:00-05:00,17241.77,17245.27,17233.02,2024-01-31 11:00:00-05:00,17245.27,SL,-1.0,-1000.0
2024-02-15,LONG,2024-02-15 12:30:00-05:00,2024-02-15 12:45:00-05:00,17798.52,17785.9,17830.07,2024-02-15 13:00:00-05:00,17830.07,TP,2.5,2500.0
2024-02-29,SHORT,2024-02-29 10:15:00-05:00,2024-02-29 10:30:00-05:00,17995.72,18018.85,17937.895000000008,2024-02-29 11:00:00-05:00,17937.895000000008,TP,2.5,2500.0
2024-03-19,LONG,2024-03-19 10:15:00-04:00,2024-03-19 10:30:00-04:00,17912.7,17909.2,17921.45,2024-03-19 10:30:00-04:00,17909.2,SL,-1.0,-1000.0
2024-03-22,LONG,2024-03-22 10:00:00-04:00,2024-03-22 10:15:00-04:00,18310.95,18304.45,18327.2,2024-03-22 10:15:00-04:00,18304.45,SL,-1.0,-1000.0
2024-04-09,SHORT,2024-04-09 10:30:00-04:00,2024-04-09 12:00:00-04:00,18110.5,18185.75,17922.375,2024-04-09 15:45:00-04:00,18185.75,SL,-1.0,-1000.0
2024-04-29,LONG,2024-04-29 10:15:00-04:00,2024-04-29 10:30:00-04:00,17764.32,17754.7,17788.369999999995,2024-04-29 10:30:00-04:00,17788.369999999995,TP,2.5,2500.0
2024-05-08,LONG,2024-05-08 10:00:00-04:00,2024-05-08 13:00:00-04:00,18058.35,18032.1,18123.975,2024-05-08 23:45:00-04:00,18067.35,EOD,0.3429,342.86
2024-05-28,LONG,2024-05-28 10:45:00-04:00,2024-05-28 11:00:00-04:00,18864.07,18850.95,18896.869999999995,2024-05-28 12:45:00-04:00,18896.869999999995,TP,2.5,2500.0
2024-07-02,SHORT,2024-07-02 12:00:00-04:00,2024-07-02 12:15:00-04:00,19891.67,19932.05,19790.719999999994,2024-07-02 13:00:00-04:00,19932.05,SL,-1.0,-1000.0
2024-08-12,LONG,2024-08-12 10:15:00-04:00,2024-08-12 11:15:00-04:00,18563.8,18452.3,18842.55,2024-08-12 23:45:00-04:00,18583.45,EOD,0.1762,176.23
2024-08-19,LONG,2024-08-19 11:00:00-04:00,2024-08-19 11:15:00-04:00,19572.32,19524.95,19690.744999999995,2024-08-19 14:30:00-04:00,19690.744999999995,TP,2.5,2500.0
2024-09-05,SHORT,2024-09-05 11:00:00-04:00,2024-09-05 13:45:00-04:00,18963.55,19040.2,18771.924999999996,2024-09-05 21:00:00-04:00,18771.924999999996,TP,2.5,2500.0
2024-09-09,SHORT,2024-09-09 10:30:00-04:00,2024-09-09 11:45:00-04:00,18605.65,18681.65,18415.65,2024-09-09 12:30:00-04:00,18681.65,SL,-1.0,-1000.0
2024-10-11,LONG,2024-10-11 10:15:00-04:00,2024-10-11 10:45:00-04:00,20267.5,20191.85,20456.625000000004,2024-10-11 16:45:00-04:00,20246.8,EOD,-0.2736,-273.63
2024-11-14,SHORT,2024-11-14 12:15:00-05:00,2024-11-14 12:30:00-05:00,21001.55,21021.3,20952.175,2024-11-14 12:30:00-05:00,20952.175,TP,2.5,2500.0
2024-12-03,LONG,2024-12-03 11:15:00-05:00,2024-12-03 11:30:00-05:00,21180.85,21173.85,21198.35,2024-12-03 11:30:00-05:00,21173.85,SL,-1.0,-1000.0
2025-01-09,SHORT,2025-01-09 18:15:00-05:00,2025-01-09 21:45:00-05:00,21047.05,21075.3,20976.425,2025-01-09 22:45:00-05:00,21075.3,SL,-1.0,-1000.0
2025-02-13,LONG,2025-02-13 10:15:00-05:00,2025-02-13 13:15:00-05:00,21825.59,21809.96,21864.665,2025-02-13 13:15:00-05:00,21809.96,SL,-1.0,-1000.0
2025-02-25,SHORT,2025-02-25 10:00:00-05:00,2025-02-25 13:00:00-05:00,21190.55,21240.43,21065.85,2025-02-25 14:15:00-05:00,21065.85,TP,2.5,2500.0
2025-02-27,SHORT,2025-02-27 10:00:00-05:00,2025-02-27 10:15:00-05:00,21019.78,21124.65,20757.604999999992,2025-02-27 14:30:00-05:00,20757.604999999992,TP,2.5,2500.0
2025-04-10,SHORT,2025-04-10 11:30:00-04:00,2025-04-10 13:00:00-04:00,18346.05,18441.15,18108.299999999996,2025-04-10 13:00:00-04:00,18108.299999999996,TP,2.5,2500.0
2025-04-29,SHORT,2025-04-29 13:00:00-04:00,2025-04-29 13:15:00-04:00,19417.25,19471.45,19281.75,2025-04-29 13:15:00-04:00,19471.45,SL,-1.0,-1000.0
2025-07-04,LONG,2025-07-04 10:30:00-04:00,2025-07-04 11:00:00-04:00,22726.95,22713.45,22760.7,2025-07-04 11:15:00-04:00,22713.45,SL,-1.0,-1000.0
2025-07-30,LONG,2025-07-30 10:30:00-04:00,2025-07-30 11:00:00-04:00,23367.15,23342.15,23429.65,2025-07-30 11:00:00-04:00,23342.15,SL,-1.0,-1000.0
2025-10-09,SHORT,2025-10-09 10:30:00-04:00,2025-10-09 10:45:00-04:00,25051.65,25070.45,25004.65,2025-10-09 10:45:00-04:00,25004.65,TP,2.5,2500.0
2025-11-12,LONG,2025-11-12 15:30:00-05:00,2025-11-12 15:45:00-05:00,25491.75,25458.45,25575.0,2025-11-12 18:00:00-05:00,25458.45,SL,-1.0,-1000.0
2025-12-22,LONG,2025-12-22 11:15:00-05:00,2025-12-22 11:30:00-05:00,25454.97,25427.22,25524.345,2025-12-22 13:15:00-05:00,25427.22,SL,-1.0,-1000.0
2026-01-15,SHORT,2026-01-15 12:30:00-05:00,2026-01-15 12:45:00-05:00,25725.72,25745.47,25676.345,2026-01-15 13:30:00-05:00,25745.47,SL,-1.0,-1000.0
2026-02-11,SHORT,2026-02-11 10:15:00-05:00,2026-02-11 10:45:00-05:00,25108.22,25214.47,24842.595,2026-02-11 12:30:00-05:00,25214.47,SL,-1.0,-1000.0
2026-02-18,LONG,2026-02-18 10:00:00-05:00,2026-02-18 14:30:00-05:00,24870.47,24767.92,25126.84500000001,2026-02-18 23:45:00-05:00,24885.9,EOD,0.1505,150.46
2026-03-18,SHORT,2026-03-18 11:15:00-04:00,2026-03-18 12:00:00-04:00,24696.15,24741.55,24582.65000000001,2026-03-18 14:00:00-04:00,24582.65000000001,TP,2.5,2500.0
2026-03-24,SHORT,2026-03-24 14:15:00-04:00,2026-03-24 14:30:00-04:00,23989.35,24067.15,23794.84999999999,2026-03-24 15:30:00-04:00,24067.15,SL,-1.0,-1000.0
2026-04-29,LONG,2026-04-29 10:30:00-04:00,2026-04-29 11:00:00-04:00,27114.29,27080.91,27197.740000000005,2026-04-29 11:45:00-04:00,27080.91,SL,-1.0,-1000.0
2026-05-27,LONG,2026-05-27 12:15:00-04:00,2026-05-27 12:30:00-04:00,29902.21,29859.74,30008.384999999995,2026-05-27 13:00:00-04:00,29859.74,SL,-1.0,-1000.0
2026-07-16,LONG,2026-07-16 10:15:00-04:00,2026-07-16 10:45:00-04:00,29193.23,29138.06,29331.154999999995,2026-07-16 11:00:00-04:00,29138.06,SL,-1.0,-1000.0
