entry_time,direction,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd,confirmations
2023-05-19 12:00:00-04:00,LONG,1975.06,1972.728856571536,1985.86,2023-05-22 01:30:00-04:00,1972.728856571536,SL,-1.0,-1000.0,3
2023-05-22 08:30:00-04:00,SHORT,1975.26,1978.8236990626394,1957.06,2023-05-23 03:15:00-04:00,1957.06,TP,5.107,5107.05,3
2023-06-21 10:45:00-04:00,SHORT,1931.86,1935.0942533038929,1918.99,2023-06-21 13:15:00-04:00,1935.0942533038929,SL,-1.0,-1000.0,3
2023-07-19 09:00:00-04:00,LONG,1977.34,1975.8450699362302,1980.8,2023-07-19 09:15:00-04:00,1975.8450699362302,SL,-1.0,-1000.0,3
2023-07-25 08:00:00-04:00,SHORT,1960.66,1963.6583309698722,1952.3,2023-07-25 10:00:00-04:00,1952.3,TP,2.788,2788.22,3
2023-09-19 10:45:00-04:00,LONG,1934.74,1933.5265300884698,1937.26,2023-09-19 11:00:00-04:00,1933.5265300884698,SL,-1.0,-1000.0,4
2023-09-25 10:30:00-04:00,LONG,1916.84,1915.3589045954493,1926.72,2023-09-25 14:30:00-04:00,1915.3589045954493,SL,-1.0,-1000.0,3
2023-11-08 02:15:00-05:00,LONG,1966.8,1965.1366907579677,1970.96,2023-11-08 05:00:00-05:00,1965.1366907579677,SL,-1.0,-1000.0,3
2024-01-04 08:45:00-05:00,SHORT,2040.11,2042.3251746304916,2030.39,2024-01-04 09:15:00-05:00,2042.3251746304916,SL,-1.0,-1000.0,4
2024-01-04 09:15:00-05:00,SHORT,2040.24,2042.9462704722093,2030.39,2024-01-04 10:00:00-05:00,2042.9462704722093,SL,-1.0,-1000.0,4
2024-01-31 15:30:00-05:00,LONG,2034.54,2030.0179938990902,2055.95,2024-02-01 06:00:00-05:00,2030.0179938990902,SL,-1.0,-1000.0,3
2024-02-07 10:15:00-05:00,LONG,2038.98,2034.8866139859497,2057.62,2024-02-07 12:15:00-05:00,2034.8866139859497,SL,-1.0,-1000.0,5
2024-02-23 09:30:00-05:00,SHORT,2024.53,2026.7113433587235,2015.82,2024-02-23 09:45:00-05:00,2026.7113433587235,SL,-1.0,-1000.0,3
2024-04-03 09:15:00-04:00,SHORT,2274.27,2277.1885658277815,2250.67,2024-04-03 10:00:00-04:00,2277.1885658277815,SL,-1.0,-1000.0,3
2024-04-25 11:00:00-04:00,LONG,2333.96,2328.1965845018694,2350.17,2024-04-25 11:15:00-04:00,2328.1965845018694,SL,-1.0,-1000.0,6
2024-04-25 11:45:00-04:00,LONG,2330.3,2327.156198852262,2344.76,2024-04-25 12:15:00-04:00,2327.156198852262,SL,-1.0,-1000.0,6
2024-05-23 23:30:00-04:00,SHORT,2329.46,2331.8764479987112,2312.15,2024-05-24 00:00:00-04:00,2331.8764479987112,SL,-1.0,-1000.0,4
2024-06-17 10:30:00-04:00,SHORT,2324.97,2327.9891162719427,2316.64,2024-06-17 11:30:00-04:00,2316.64,TP,2.759,2759.09,3
2024-08-15 10:00:00-04:00,SHORT,2445.18,2450.6418723441693,2429.07,2024-08-15 10:15:00-04:00,2450.6418723441693,SL,-1.0,-1000.0,5
2024-10-07 09:15:00-04:00,SHORT,2647.08,2654.4417245230234,2631.81,2024-10-08 03:00:00-04:00,2631.81,TP,2.074,2074.24,3
2024-11-11 06:30:00-05:00,SHORT,2664.84,2667.3984989230694,2657.34,2024-11-11 07:45:00-05:00,2657.34,TP,2.931,2931.41,4
2024-12-11 01:45:00-05:00,LONG,2695.93,2692.9953283429654,2703.93,2024-12-11 02:00:00-05:00,2692.9953283429654,SL,-1.0,-1000.0,4
2024-12-26 10:15:00-05:00,LONG,2635.15,2633.0408207424107,2640.19,2024-12-26 11:00:00-05:00,2633.0408207424107,SL,-1.0,-1000.0,4
2025-01-06 09:30:00-05:00,SHORT,2624.05,2629.155235576037,2605.2,2025-01-06 09:45:00-05:00,2629.155235576037,SL,-1.0,-1000.0,3
2025-01-30 04:15:00-05:00,LONG,2775.0,2771.0284078225104,2785.81,2025-01-30 08:45:00-05:00,2785.81,TP,2.722,2721.83,3
2025-02-20 21:15:00-05:00,SHORT,2937.94,2940.7876924211814,2923.92,2025-02-20 21:30:00-05:00,2940.7876924211814,SL,-1.0,-1000.0,3
2025-02-20 21:45:00-05:00,SHORT,2939.02,2941.2675944856105,2923.92,2025-02-21 03:00:00-05:00,2923.92,TP,6.718,6718.29,4
2025-03-18 11:00:00-04:00,LONG,3028.77,3024.2445335767106,3038.21,2025-03-18 23:45:00-04:00,3038.21,TP,2.086,2085.97,3
2025-04-21 20:45:00-04:00,LONG,3425.41,3420.5775602425606,3444.17,2025-04-21 21:30:00-04:00,3444.17,TP,3.882,3882.1,4
2025-06-02 10:00:00-04:00,LONG,3374.26,3366.4544671616654,3414.64,2025-06-02 21:15:00-04:00,3366.4544671616654,SL,-1.0,-1000.0,3
2025-06-25 04:15:00-04:00,LONG,3329.72,3325.738162216367,3358.01,2025-06-25 05:00:00-04:00,3325.738162216367,SL,-1.0,-1000.0,4
2025-06-29 19:15:00-04:00,SHORT,3268.06,3270.8902593136763,3245.23,2025-06-29 21:15:00-04:00,3270.8902593136763,SL,-1.0,-1000.0,3
2025-07-16 12:15:00-04:00,LONG,3351.86,3345.028229196385,3393.55,2025-07-16 20:00:00-04:00,3345.028229196385,SL,-1.0,-1000.0,4
2025-08-01 16:45:00-04:00,LONG,3363.25,3361.228868532773,3373.42,2025-08-03 18:00:00-04:00,3361.228868532773,SL,-1.0,-1000.0,6
2025-09-04 20:15:00-04:00,LONG,3551.23,3548.291387151058,3558.67,2025-09-04 22:30:00-04:00,3548.291387151058,SL,-1.0,-1000.0,5
2025-09-09 03:00:00-04:00,LONG,3646.97,3644.185821318672,3659.22,2025-09-09 03:15:00-04:00,3644.185821318672,SL,-1.0,-1000.0,3
2025-09-09 03:45:00-04:00,LONG,3644.07,3640.5385652103214,3659.22,2025-09-09 09:15:00-04:00,3659.22,TP,4.29,4290.04,3
2025-10-22 05:00:00-04:00,SHORT,4075.51,4104.837032986122,4003.66,2025-10-22 15:15:00-04:00,4104.837032986122,SL,-1.0,-1000.0,3
2025-11-07 12:30:00-05:00,LONG,3998.58,3992.351909495329,4030.71,2025-11-09 20:15:00-05:00,4030.71,TP,5.159,5158.88,4
2026-02-23 10:00:00-05:00,LONG,5198.92,5178.892362379276,5240.98,2026-02-23 11:00:00-05:00,5178.892362379276,SL,-1.0,-1000.0,3
2026-04-22 20:30:00-04:00,SHORT,4744.88,4753.228300128292,4668.11,2026-04-22 20:45:00-04:00,4753.228300128292,SL,-1.0,-1000.0,3
2026-06-17 14:30:00-04:00,LONG,4323.33,4267.100098610904,4475.65,2026-06-17 15:00:00-04:00,4267.100098610904,SL,-1.0,-1000.0,4
2026-06-26 09:15:00-04:00,LONG,4056.86,4041.7007377539803,4097.36,2026-06-29 01:30:00-04:00,4041.7007377539803,SL,-1.0,-1000.0,5
2026-07-06 21:45:00-04:00,SHORT,4141.91,4147.2688733763935,4120.94,2026-07-07 01:15:00-04:00,4120.94,TP,3.913,3913.14,5
2026-07-28 07:00:00-04:00,SHORT,4023.75,4029.7753101376816,3999.54,2026-07-28 07:15:00-04:00,4029.7753101376816,SL,-1.0,-1000.0,3
