day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2023-02-08,reversal,SHORT,2023-02-08 09:35:00-05:00,2023-02-08 09:50:00-05:00,12674.7,12692.079786503546,12639.940426992911,2023-02-08 09:55:00-05:00,12639.940426992911,TP,2.0,1000.0
2023-02-15,reversal,SHORT,2023-02-15 09:35:00-05:00,2023-02-15 09:55:00-05:00,12527.9,12567.167696060851,12449.364607878297,2023-02-15 10:30:00-05:00,12567.167696060851,SL,-1.0,-500.0
2023-03-03,reversal,LONG,2023-03-03 09:35:00-05:00,2023-03-03 09:45:00-05:00,12122.8,12089.892754739232,12188.614490521533,2023-03-03 10:15:00-05:00,12188.614490521533,TP,2.0,1000.0
2023-05-15,reversal,SHORT,2023-05-15 09:45:00-04:00,2023-05-15 09:55:00-04:00,13334.1,13371.008244687317,13260.283510625368,2023-05-15 11:20:00-04:00,13371.008244687317,SL,-1.0,-500.0
2023-05-16,reversal,SHORT,2023-05-16 09:35:00-04:00,2023-05-16 09:55:00-04:00,13432.4,13422.643677951863,13412.887355903726,2023-05-16 10:00:00-04:00,13422.643677951863,SL,1.0,500.0
2023-06-07,reversal,SHORT,2023-06-07 09:35:00-04:00,2023-06-07 09:55:00-04:00,14613.3,14648.819555039045,14542.260889921909,2023-06-07 10:20:00-04:00,14542.260889921909,TP,2.0,1000.0
2023-06-13,reversal,SHORT,2023-06-13 09:35:00-04:00,2023-06-13 09:50:00-04:00,14858.7,14927.254965499225,14721.590069001551,2023-06-13 23:55:00-04:00,14902.0,EOD,-0.6316,-315.8
2023-07-04,reversal,SHORT,2023-07-04 09:40:00-04:00,2023-07-04 09:50:00-04:00,15209.5,15215.358657043484,15197.782685913033,2023-07-04 10:25:00-04:00,15197.782685913033,TP,2.0,1000.0
2023-07-19,reversal,SHORT,2023-07-19 09:40:00-04:00,2023-07-19 09:50:00-04:00,15872.7,15907.628334513003,15802.843330973996,2023-07-19 10:40:00-04:00,15907.628334513003,SL,-1.0,-500.0
2023-07-24,reversal,SHORT,2023-07-24 09:35:00-04:00,2023-07-24 09:50:00-04:00,15450.4,15511.977905004043,15327.244189991912,2023-07-24 23:55:00-04:00,15449.1,EOD,0.0211,10.56
2023-07-31,reversal,SHORT,2023-07-31 09:40:00-04:00,2023-07-31 09:55:00-04:00,15752.6,15799.02579400673,15659.748411986542,2023-07-31 23:55:00-04:00,15768.4,EOD,-0.3403,-170.16
2023-08-04,reversal,SHORT,2023-08-04 09:40:00-04:00,2023-08-04 09:55:00-04:00,15393.1,15491.813200799199,15195.673598401603,2023-08-04 11:45:00-04:00,15491.813200799199,SL,-1.0,-500.0
2023-09-19,reversal,SHORT,2023-09-19 09:35:00-04:00,2023-09-19 09:55:00-04:00,15143.4,15173.607286935825,15082.985426128349,2023-09-19 10:35:00-04:00,15082.985426128349,TP,2.0,1000.0
2023-09-26,reversal,SHORT,2023-09-26 09:35:00-04:00,2023-09-26 09:50:00-04:00,14633.2,14680.338162996935,14538.923674006131,2023-09-26 14:35:00-04:00,14538.923674006131,TP,2.0,1000.0
2023-09-28,reversal,LONG,2023-09-28 09:40:00-04:00,2023-09-28 09:55:00-04:00,14570.0,14496.456959480278,14717.086081039444,2023-09-28 11:40:00-04:00,14717.086081039444,TP,2.0,1000.0
2023-10-11,reversal,SHORT,2023-10-11 09:35:00-04:00,2023-10-11 09:45:00-04:00,15219.0,15250.86363113034,15155.27273773932,2023-10-11 11:40:00-04:00,15155.27273773932,TP,2.0,1000.0
2023-10-24,reversal,SHORT,2023-10-24 09:35:00-04:00,2023-10-24 09:50:00-04:00,14702.1,14721.119646372743,14664.060707254515,2023-10-24 09:55:00-04:00,14721.119646372743,SL,-1.0,-500.0
2023-11-03,reversal,LONG,2023-11-03 09:35:00-04:00,2023-11-03 09:45:00-04:00,15015.9,14962.13704007746,15123.42591984508,2023-11-03 13:55:00-04:00,15123.42591984508,TP,2.0,1000.0
