day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2023-03-27,reversal,LONG,2023-03-27 09:45:00-04:00,2023-03-27 10:30:00-04:00,1954.27,1943.5161729540014,1975.7776540919972,2023-03-27 23:45:00-04:00,1959.59,EOD,0.4584,229.22
2023-03-28,reversal,LONG,2023-03-28 10:00:00-04:00,2023-03-28 10:45:00-04:00,1964.63,1959.5214073717073,1974.8471852565858,2023-03-28 13:45:00-04:00,1974.8471852565858,TP,1.9237,961.83
2023-03-30,reversal,LONG,2023-03-30 09:45:00-04:00,2023-03-30 10:30:00-04:00,1968.16,1964.8896404942384,1974.7007190115235,2023-03-30 11:00:00-04:00,1974.7007190115235,TP,1.8807,940.37
2023-04-06,reversal,LONG,2023-04-06 10:00:00-04:00,2023-04-06 10:45:00-04:00,2009.47,2000.9612286930185,2026.4875426139631,2023-04-06 16:45:00-04:00,2006.7,EOD,-0.3714,-185.69
2023-04-13,reversal,SHORT,2023-04-13 10:15:00-04:00,2023-04-13 10:45:00-04:00,2037.1,2046.283400988121,2018.7331980237577,2023-04-13 22:00:00-04:00,2046.283400988121,SL,-1.0425,-521.23
2023-05-10,reversal,SHORT,2023-05-10 10:00:00-04:00,2023-05-10 10:45:00-04:00,2031.08,2038.4344728131623,2016.3710543736752,2023-05-10 23:45:00-04:00,2032.28,EOD,-0.2162,-108.1
2023-05-12,reversal,SHORT,2023-05-12 09:45:00-04:00,2023-05-12 10:15:00-04:00,2016.85,2022.8571860310747,2004.8356279378504,2023-05-12 16:45:00-04:00,2010.57,EOD,0.9805,490.25
2023-05-16,reversal,SHORT,2023-05-16 09:45:00-04:00,2023-05-16 10:45:00-04:00,2003.69,2011.10753289172,1988.8549342165602,2023-05-16 12:45:00-04:00,1988.8549342165602,TP,1.9474,973.71
2023-05-17,reversal,LONG,2023-05-17 10:00:00-04:00,2023-05-17 10:30:00-04:00,1982.69,1974.6793272396037,1998.7113455207927,2023-05-17 23:45:00-04:00,1982.19,EOD,-0.1111,-55.55
2023-05-26,reversal,SHORT,2023-05-26 10:00:00-04:00,2023-05-26 10:45:00-04:00,1942.55,1951.6524244098227,1924.3451511803544,2023-05-26 16:45:00-04:00,1945.77,EOD,-0.3966,-198.3
2023-07-19,reversal,SHORT,2023-07-19 09:45:00-04:00,2023-07-19 10:15:00-04:00,1974.55,1980.0813931657053,1963.4872136685892,2023-07-19 21:00:00-04:00,1980.0813931657053,SL,-1.0705,-535.25
2023-08-02,reversal,SHORT,2023-08-02 09:45:00-04:00,2023-08-02 10:15:00-04:00,1940.48,1947.925610551541,1925.588778896918,2023-08-02 23:45:00-04:00,1937.18,EOD,0.3908,195.42
2023-08-10,reversal,SHORT,2023-08-10 09:45:00-04:00,2023-08-10 10:15:00-04:00,1917.9,1925.4783829352896,1902.7432341294211,2023-08-10 23:45:00-04:00,1914.55,EOD,0.3906,195.29
2023-08-14,reversal,LONG,2023-08-14 09:45:00-04:00,2023-08-14 10:15:00-04:00,1907.27,1902.349032170183,1917.1119356596341,2023-08-14 23:45:00-04:00,1907.07,EOD,-0.1199,-59.95
2023-08-25,reversal,SHORT,2023-08-25 09:45:00-04:00,2023-08-25 10:30:00-04:00,1911.28,1916.2253014621829,1901.3893970756342,2023-08-25 16:45:00-04:00,1914.75,EOD,-0.7805,-390.27
2023-09-12,reversal,LONG,2023-09-12 09:45:00-04:00,2023-09-12 10:30:00-04:00,1911.84,1908.0858666923925,1919.3482666152147,2023-09-12 23:45:00-04:00,1909.56,EOD,-0.7112,-355.61
2023-09-14,reversal,LONG,2023-09-14 09:45:00-04:00,2023-09-14 10:30:00-04:00,1905.07,1901.6016358367654,1912.006728326469,2023-09-14 12:30:00-04:00,1912.006728326469,TP,1.8876,943.78
2023-09-15,reversal,LONG,2023-09-15 09:45:00-04:00,2023-09-15 10:15:00-04:00,1927.27,1923.0889440880387,1935.6321118239225,2023-09-15 15:30:00-04:00,1923.0889440880387,SL,-1.0933,-546.64
2023-09-19,reversal,SHORT,2023-09-19 09:45:00-04:00,2023-09-19 10:15:00-04:00,1932.82,1936.4504476515906,1925.5591046968186,2023-09-19 23:45:00-04:00,1930.5,EOD,0.5316,265.81
2023-09-21,reversal,LONG,2023-09-21 09:45:00-04:00,2023-09-21 10:15:00-04:00,1919.92,1914.8699071046212,1930.0201857907578,2023-09-21 23:45:00-04:00,1923.74,EOD,0.6792,339.6
2023-10-06,reversal,LONG,2023-10-06 09:45:00-04:00,2023-10-06 10:15:00-04:00,1824.17,1815.9329898859276,1840.644020228145,2023-10-06 16:45:00-04:00,1832.75,EOD,0.9943,497.15
2023-10-18,reversal,SHORT,2023-10-18 09:45:00-04:00,2023-10-18 10:30:00-04:00,1954.08,1962.879726332443,1936.480547335114,2023-10-18 23:45:00-04:00,1946.26,EOD,0.8443,422.17
2023-10-23,reversal,LONG,2023-10-23 09:45:00-04:00,2023-10-23 10:30:00-04:00,1975.51,1969.688486247861,1987.153027504278,2023-10-23 23:45:00-04:00,1976.81,EOD,0.1563,78.16
2023-11-02,reversal,SHORT,2023-11-02 10:00:00-04:00,2023-11-02 10:30:00-04:00,1987.18,1991.172206474863,1979.195587050274,2023-11-02 12:30:00-04:00,1979.195587050274,TP,1.9023,951.15
