day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2024-07-03,reversal,LONG,2024-07-03 10:00:00-04:00,2024-07-03 10:45:00-04:00,2357.19,2347.275348836469,2377.0193023270617,2024-07-03 23:45:00-04:00,2359.32,EOD,0.1987,99.35
2024-07-19,reversal,LONG,2024-07-19 09:45:00-04:00,2024-07-19 10:45:00-04:00,2403.63,2401.046363962423,2408.797272075154,2024-07-19 11:00:00-04:00,2401.046363962423,SL,-1.0619,-530.96
2024-07-24,reversal,LONG,2024-07-24 10:15:00-04:00,2024-07-24 10:45:00-04:00,2421.72,2413.1276424464377,2438.904715107124,2024-07-24 14:30:00-04:00,2413.1276424464377,SL,-1.0186,-509.31
2024-07-30,reversal,LONG,2024-07-30 10:00:00-04:00,2024-07-30 10:30:00-04:00,2393.2,2385.398204394677,2408.803591210645,2024-07-30 12:15:00-04:00,2385.398204394677,SL,-1.0205,-510.25
2024-07-31,reversal,LONG,2024-07-31 10:00:00-04:00,2024-07-31 10:45:00-04:00,2426.09,2418.152588830362,2441.964822339276,2024-07-31 16:15:00-04:00,2441.964822339276,TP,1.9798,989.92
2024-08-09,reversal,SHORT,2024-08-09 10:00:00-04:00,2024-08-09 10:45:00-04:00,2426.58,2430.8482869286577,2418.0434261426844,2024-08-09 11:15:00-04:00,2430.8482869286577,SL,-1.0375,-518.74
2024-08-21,reversal,SHORT,2024-08-21 10:00:00-04:00,2024-08-21 10:45:00-04:00,2502.95,2513.1312859470104,2482.5874281059787,2024-08-21 15:00:00-04:00,2513.1312859470104,SL,-1.0157,-507.86
2024-08-23,reversal,SHORT,2024-08-23 09:45:00-04:00,2024-08-23 10:45:00-04:00,2498.17,2502.186400464676,2490.1371990706484,2024-08-23 11:00:00-04:00,2502.186400464676,SL,-1.0398,-519.92
2024-09-25,reversal,LONG,2024-09-25 09:45:00-04:00,2024-09-25 10:15:00-04:00,2664.19,2656.9837107096837,2678.602578580633,2024-09-25 11:45:00-04:00,2656.9837107096837,SL,-1.0222,-511.1
2024-09-26,reversal,SHORT,2024-09-26 09:45:00-04:00,2024-09-26 10:15:00-04:00,2667.8,2680.302235464476,2642.795529071049,2024-09-26 23:45:00-04:00,2668.91,EOD,-0.1016,-50.79
2024-10-11,reversal,LONG,2024-10-11 09:45:00-04:00,2024-10-11 10:15:00-04:00,2647.02,2639.5941457041313,2661.8717085917374,2024-10-11 17:45:00-04:00,2656.38,EOD,1.2389,619.46
2024-10-28,reversal,LONG,2024-10-28 09:45:00-04:00,2024-10-28 10:15:00-04:00,2739.14,2729.8623287685714,2757.695342462857,2024-10-28 23:00:00-04:00,2757.695342462857,TP,1.9828,991.38
2024-11-19,reversal,SHORT,2024-11-19 09:45:00-05:00,2024-11-19 10:15:00-05:00,2628.33,2637.3613891227396,2610.2672217545205,2024-11-19 20:15:00-05:00,2637.3613891227396,SL,-1.0177,-508.86
2025-01-17,reversal,LONG,2025-01-17 10:00:00-05:00,2025-01-17 10:45:00-05:00,2711.44,2703.337550860669,2727.644898278662,2025-01-17 15:45:00-05:00,2703.337550860669,SL,-1.0197,-509.87
2025-03-05,reversal,LONG,2025-03-05 09:45:00-05:00,2025-03-05 10:45:00-05:00,2908.76,2893.7039697468945,2938.8720605062117,2025-03-05 23:45:00-05:00,2921.26,EOD,0.8196,409.8
