day,setup_id,direction,range_high,range_low,range_points,atr,break_time,morning_extreme,entry_time,entry,stop,target,exit_time,exit_price,reason,bars_held,r_gross,r_net
2009-04-13,setup_or_fib_XAUUSD_20090413_SELL,SHORT,897.79,894.68,3.1100000000000136,1.8409207967407948,2009-04-13 14:06:00+00:00,893.58,2009-04-13 14:46:00+00:00,896.6019799999999,897.79,893.83408,2009-04-13 15:06:00+00:00,897.79,SL,20,-1.0,-1.1376239457248136
2009-04-14,setup_or_fib_XAUUSD_20090414_SELL,SHORT,893.08,890.13,2.9500000000000455,2.0077083951865853,2009-04-14 13:45:00+00:00,886.03,2009-04-14 15:40:00+00:00,891.9531000000001,893.08,889.3276,2009-04-14 16:00:00+00:00,891.23,TIME,20,0.6416718431094677,0.4965835477860111
2009-04-15,setup_or_fib_XAUUSD_20090415_SELL,SHORT,894.54,889.28,5.259999999999991,2.5339806281131243,2009-04-15 14:21:00+00:00,887.58,2009-04-15 15:38:00+00:00,892.53068,894.54,887.84928,2009-04-15 16:00:00+00:00,891.76,TIME,22,0.3835526446757955,0.30218183265979015
2009-04-20,setup_or_fib_XAUUSD_20090420_BUY,LONG,877.18,874.94,2.2399999999998954,1.8205137547090293,2009-04-20 13:47:00+00:00,878.38,2009-04-20 14:05:00+00:00,875.7956800000001,874.94,877.78928,2009-04-20 14:18:00+00:00,877.78928,TP,13,2.3298429319370393,2.138766828720885
2009-04-22,setup_or_fib_XAUUSD_20090422_BUY,LONG,886.38,883.08,3.2999999999999545,1.7767244677153502,2009-04-22 13:48:00+00:00,888.68,2009-04-22 15:53:00+00:00,884.3406,883.08,887.2776,2009-04-22 16:00:00+00:00,885.48,TIME,7,0.9038553069967197,0.7741551642075669
2009-04-23,setup_or_fib_XAUUSD_20090423_SELL,SHORT,893.48,891.73,1.75,1.5882783327042516,2009-04-23 13:49:00+00:00,891.51,2009-04-23 13:55:00+00:00,892.8115,893.48,891.254,2009-04-23 13:57:00+00:00,893.48,SL,2,-1.0,-1.244577412116681
2009-04-27,setup_or_fib_XAUUSD_20090427_BUY,LONG,908.59,906.18,2.410000000000082,1.7930210959124417,2009-04-27 13:47:00+00:00,908.78,2009-04-27 13:59:00+00:00,907.1006199999999,906.18,909.24552,2009-04-27 14:05:00+00:00,909.24552,TP,6,2.329842931937341,2.1522452260434837
2009-05-06,setup_or_fib_XAUUSD_20090506_SELL,SHORT,912.18,907.11,5.069999999999936,2.501949659408415,2009-05-06 13:45:00+00:00,906.58,2009-05-06 13:57:00+00:00,910.24326,912.18,905.73096,2009-05-06 15:07:00+00:00,905.73096,TP,70,2.32984293193718,2.245422720654302
2009-05-08,setup_or_fib_XAUUSD_20090508_BUY,LONG,913.4,910.48,2.919999999999959,1.873515065193264,2009-05-08 13:46:00+00:00,914.4,2009-05-08 14:00:00+00:00,911.59544,910.48,914.1942399999999,2009-05-08 14:00:00+00:00,910.48,SL,0,-1.0,-1.1465789284945804
2009-05-15,setup_or_fib_XAUUSD_20090515_BUY,LONG,928.63,926.86,1.7699999999999818,1.6002247292625555,2009-05-15 13:48:00+00:00,930.47,2009-05-15 14:03:00+00:00,927.53614,926.86,929.11144,2009-05-15 14:26:00+00:00,929.11144,TP,23,2.329842931937018,2.08802910639794
2009-05-21,setup_or_fib_XAUUSD_20090521_SELL,SHORT,939.6,938.08,1.5199999999999818,1.2726535359106694,2009-05-21 13:48:00+00:00,936.03,2009-05-21 14:16:00+00:00,939.01936,939.6,937.66656,2009-05-21 14:19:00+00:00,937.66656,TP,3,2.329842931937109,2.048257095618572
2009-05-26,setup_or_fib_XAUUSD_20090526_BUY,LONG,948.54,945.04,3.5,1.888664181315535,2009-05-26 13:46:00+00:00,948.96,2009-05-26 14:01:00+00:00,946.377,945.04,949.492,2009-05-26 14:36:00+00:00,949.492,TP,35,2.3298429319371987,2.2075542258788583
2009-05-27,setup_or_fib_XAUUSD_20090527_SELL,SHORT,954.68,952.15,2.5299999999999727,1.4651382011740273,2009-05-27 13:45:00+00:00,949.08,2009-05-27 14:40:00+00:00,953.71354,954.68,951.4618399999999,2009-05-27 14:47:00+00:00,954.68,SL,7,-1.0,-1.169174099290196
2009-05-29,setup_or_fib_XAUUSD_20090529_SELL,SHORT,976.06,973.56,2.5,2.140993758542469,2009-05-29 13:55:00+00:00,973.32,2009-05-29 13:57:00+00:00,975.1049999999999,976.06,972.88,2009-05-29 14:07:00+00:00,976.06,SL,10,-1.0,-1.171204188481668
2009-06-01,setup_or_fib_XAUUSD_20090601_BUY,LONG,982.38,978.13,4.25,2.3488557846164904,2009-06-01 13:45:00+00:00,984.78,2009-06-01 14:09:00+00:00,979.7535,978.13,983.536,2009-06-01 14:09:00+00:00,978.13,SL,0,-1.0,-1.1007083461656892
2009-06-02,setup_or_fib_XAUUSD_20090602_BUY,LONG,980.93,978.59,2.339999999999918,2.1082941199981247,2009-06-02 13:45:00+00:00,982.03,2009-06-02 14:01:00+00:00,979.48388,978.59,981.56648,2009-06-02 14:30:00+00:00,981.56648,TP,29,2.3298429319372094,2.146932474157635
2009-06-03,setup_or_fib_XAUUSD_20090603_SELL,SHORT,977.96,975.65,2.310000000000059,2.228390479189651,2009-06-03 13:48:00+00:00,973.57,2009-06-03 14:10:00+00:00,977.07758,977.96,975.02168,2009-06-03 14:16:00+00:00,977.96,SL,6,-1.0,-1.1852859182702062
2009-06-04,setup_or_fib_XAUUSD_20090604_BUY,LONG,972.65,969.18,3.4700000000000273,2.5113376245950065,2009-06-04 13:45:00+00:00,974.5,2009-06-04 13:57:00+00:00,970.50554,969.18,973.59384,2009-06-04 14:23:00+00:00,973.59384,TP,26,2.3298429319370944,2.206496974817736
2009-06-05,setup_or_fib_XAUUSD_20090605_SELL,SHORT,960.63,956.45,4.17999999999995,3.468817992637377,2009-06-05 13:49:00+00:00,954.48,2009-06-05 13:56:00+00:00,959.03324,960.63,955.3130400000001,2009-06-05 14:01:00+00:00,960.63,SL,5,-1.0,-1.1023948495703788
2009-06-08,setup_or_fib_XAUUSD_20090608_SELL,SHORT,949.65,944.61,5.039999999999964,2.200272924926182,2009-06-08 13:45:00+00:00,943.29,2009-06-08 14:24:00+00:00,947.72472,949.65,943.2391200000001,2009-06-08 14:37:00+00:00,949.65,SL,13,-1.0,-1.0849227125405168
2009-06-16,setup_or_fib_XAUUSD_20090616_BUY,LONG,934.93,932.83,2.099999999999909,1.527453308113999,2009-06-16 13:52:00+00:00,935.24,2009-06-16 13:57:00+00:00,933.51,932.83,935.5011999999999,2009-06-16 14:28:00+00:00,935.6,TP,28,3.0735294117649787,2.833088235294373
